upc,match_name,sim_upc,sim_name
76839550545,,768395117115,Extra Large Travel Laptop Backpack Tsa Durable Computer (rfid 17 Inch Orange)
76839550545,,768395123765,"Chocolate Reindeer Lot Of 2 Jointed Bean Bag Plush 13"" Tall With Tags No Candy"
76839550545,,768395130633,Happy Hanukkah Coffee Tea Mug Blue 1998 Gac Dishwasher And Microwave Safe Jewish
76839550545,,768395133221,Pollar Bear Jaguar Tail Animal Print Hooded Costume Gac 1997 Stuffed Animal
76839550545,,768395135423,Snowden Raggedy Ann And Andy 1998 Lunch Pail With Assorted Candy Sealed
76839550545,,768395136390,Blue Teddy Bear Bubble Gum Balls Happy Chanukah Hanukkah Stuffed Plush
76839550545,,768395136888,Plush Brown Teddy Bear In Green & Orange Flower Costume Outfit Stuffed Animal
76839550545,,768395140120,"Bit O Honey Brown Teddy Bear In Bee Costume Plush W/tag Yr 1998- 10"""
76839550545,,768395142865,"14"" Christmas Tan Teddy Bear in Cocoa Reindeer Bean Plush American Greetings"
76839550545,,768395143022,20 Year Old Candy In A Car Shaped Container
