upc,match_name,sim_upc,sim_name
76668400673,,766684001206,Abdallah Chocolates Deluxe Assortment 15 Oz Ounces Grocery
76668400673,,766684002173,Abdallah Chocolates Sea Salt Almond Alligators 1 Lb 16 Oz Grocery
76668400673,,766684003903,Abdallah Chocolates Milk Chocolate Alligators 8 Oz Ounces Grocery
76668400673,,766684006003,"ABDALLAH, MY SWEET REWARD CARAMEL PATTIES"
76668400673,,766684006027,"ABDALLAH, ENGLISH TOFFEE"
76668400673,,766684006041,"ABDALLAH, RASPBERRY CREAMS, RASPBERRY CREAMS"
76668400673,,766684006058,"ABDALLAH, ALMOND COCONUT CARAMELS"
76668400673,,766684006065,"ABDALLAH, SEA SALT CARAMELS"
76668400673,,766684006089,Abdallah Chocolates Sea Salt Almond Alligators In Dark Chocolate 6 Oz Grocery
76668400673,,766684006126,SORBET CANDIES
