upc,match_name,sim_upc,sim_name
8523972134,,85239000007,Spring Monster Trail Mix - 9.5oz - Favorite Day
8523972134,,85239000021,Liquid Water Enhancer Fruit Punch - 1.62 fl oz Bottle - Market Pantry
8523972134,,85239000045,SUGAR COOKIES
8523972134,,85239000052,Archer Farms Monster Trail Mix 6 oz
8523972134,,85239000069,"MARKET PANTRY, SUGAR COOKIES"
8523972134,,85239000076,Mild Cheddar Natural Cheese - Price Per lb. - Market Pantry
8523972134,,85239000083,"Dark Chocolate Covered Almonds Nuts, Seeds And Legumes - 6.5oz - Archer Farms"
8523972134,,85239000090,"Archer Farms 7.5 oz, Snack Mixes"
8523972134,,85239000106,Archer Farms Tex Mex Trail Mix 4.5 oz
8523972134,,85239000113,"CASHEW, CRANBERRY & ALMOND TRAIL MIX"
