upc,match_name,sim_upc,sim_name
76211173611,,762111000156,Starbucks Stainless Steel & Ceramic Tumbler Berry & White 12 Oz (11036135)
76211173611,,762111000231,"Starbucks Colombia Narino, Medium Roast Whole Bean Coffee, Exp 08/2017"
76211173611,,762111000248,Starbucks Blossom Design Cold Cup 24 Fl. Oz.
76211173611,,762111000538,"Starbucks® Cold-to-go Cold Cup - Multi-colored, 24 Fl Oz"
76211173611,,762111000545,"Starbucks Peacock Stacking Mug, 14 Fl Oz"
76211173611,,762111000552,"Starbucks Gradient Tumbler with Silver Badge, 16 Fl Oz"
76211173611,,762111000569,"Starbucks Seaglass Stacking Mug, 14 Fl Oz"
76211173611,,762111000576,"Starbucks® Cold-to-go Cold Cup - Mirrored, 24 Fl Oz"
76211173611,,762111000637,"Starbucks Stainless Steel Line Waves Tumbler, 16 Fl Oz (011036183)"
76211173611,,762111000668,Starbucks Reusable Cold-to-Go Lid -- Red
