upc,match_name,sim_upc,sim_name
7208404190,,72084000061,Alberts Chocolate Ice Cubes
7208404190,,72084000078,Chocolate Ice Cubes 1lb. 40 Pieces Mortiz Germany Alberts
7208404190,,72084000085,Starter Motor Fits Subaru Legacy 2.2 89 To 90 Ej22empi Manual B&b 23300aa40a
7208404190,,72084001303,Pearl Silver Color Splash Swirly Pops Blackberry Lollipops 1.5 oz.
7208404190,,72084001327,Jet Black Color Splash Swirly Pops Black Cherry Lollipops 1.5 oz.
7208404190,,72084001341,Pearl Baby Pink Color Splash Swirly Pops Strawberry Lollipops 1.5 oz.
7208404190,,72084001365,"Color Splash Orange, Orange Flavor Swirly Pops, 1.5 Ounces - 12 Count Box"
7208404190,,72084001389,Baby Blue Color Splash Swirly Pops Blueberry Lollipops 1.5 oz.
7208404190,,72084001419,Pearl White Color Splash Swirly Pops Tutti Frutti Lollipops 1.5 oz.
7208404190,,72084002034,Vintage 1997 Albert & Sons Sweet Pumper Water Gun Candy Container Bubble Gum
