match_name,upc,sim_upc,sim_name
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619000081,Lot 5 Tea Coffee Mug Cafe Latte 15 Oz Royal Norfolk Microwave Dishwasher Safe
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619000135,"Rockport 10' x 14' Outdoor Rug - Gray - Mohawk Home, Blue"
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619000142,"Sanibel 5' x 8' Outdoor Rug - Navy - Mohawk Home, Blue"
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619000159,"Sanibel 10' x 14' Outdoor Rug - Gray - Mohawk Home, Blue"
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619000173,"Tofino 10' x 14' Outdoor Rug - Natural - Mohawk Home, Blue"
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619002016,"Kirkland Signature, Crystal Clear Cutlery 360 Count (Pack of 3) (B06XBJQ6HN)"
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619003808,Body Soap 15 Bars 4.5 Oz
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619004218,Flea & Tick Spot On for Dogs (15-30 Lbs)
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619004225,"Adams Pentagon Flea and Tick for 61 to 150 Lb Dogs Spot on for Dogs, Quick Dryin"
"Signature's Milk Chocolate, Raisins, 54 Ounce",9661906716,96619005109,"Airheads Full Size, Variety, Candies (B09FTNNCVM)"
