match_name,upc,sim_upc,sim_name
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000006,Kill Cliff Blackberry Lemonade
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000013,Urban Originals Rose Queen Vegan Leather Crossbody Bag - Yellow
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000020,Seagate Stel4000200 Backup Plus Hub 4tb External Desktop Hard Drive Hdd In Black
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000037,Mars 2.13-oz Three Musketeers Candy Bar
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000044,Urban Originals Lovesome Vegan Leather Backpack - Blue
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000051,Urban Originals Celestial Vegan Leather Backpack - Black
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000068,Urban Originals On My Own Vegan Leather Backpack -
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000075,Flaming Star Vinyl Decal Flames Car Truck Window Sticker Blue
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000082,Women's Urban Originals Button Up Vegan Leather Wallet - Black
"CHOCOLATE CANDIES, CARAMEL",4000052801,40000000099,Urban Originals Crazy Love Vegan Leather Tote -
