upc,match_name,sim_upc,sim_name
81135502035,,811355000023,JALAPENO JACK CHEESE
81135502035,,811355000030,CALICO CHEESE
81135502035,,811355000047,MILD CHEDDAR CHEESE
81135502035,,811355000061,CALIFORNIA PREMIUM SHARP CHEDDAR CHEESE
81135502035,,811355000115,MOZZARELLA CHEESE
81135502035,,811355000122,DELI SLICES PROVOLONE CHEESE
81135502035,,811355000139,DELI SLICES SWISS CHEESE
81135502035,,811355000160,DELI SLICES CHEESE
81135502035,,811355000177,DELI SLICES COLBY JACK CHEESE
81135502035,,811355000658,SHARP CHEDDAR CHEESE
