upc,match_name,sim_upc,sim_name
7157612007,,71576000053,ION 71-5765 5-114.3 PCD Machined Wheel
7157612007,,71576000077,Popular Bath Elite ORB Collection Decorative Soap Dispenser/Lot. Free Shipping
7157612007,,71576003184,Primrose Old Fashioned Classic Christmas Deluxe Filled Hard Candy Mix (LIMITED T
7157612007,,71576011202,"Primrose Licorice Starlites Hard Candy Mints Starlights, 2 Pound With Free Ship"
7157612007,,71576016207,Primrose Sugar Free Starlight Mints - 5 LB Bulk Bag
7157612007,,71576040172,"Lollipops, Individually Wrapped, 1360/CT, Assorted"
7157612007,,71576045757,"CLASSIC CHRISTMAS CANDY, HARD CANDY"
7157612007,,71576046167,Sugar Free Suckers Assortment: 2lb Bag
7157612007,,71576048079,Pink Candy Buffet
7157612007,,71576048130,Lollipops
