upc,match_name,sim_upc,sim_name
872522102,,8725000015,"LONG GROVE CONFECTIONERY CO., CHOCOLATE FUDGE"
872522102,,8725000022,"LONG GROVE CONFECTIONERY CO, ROCKY ROAD FUDGE"
872522102,,8725000053,Lauri 087255 Beginning Blends Phonics Center Kit
872522102,,8725020082,"LONG GROVE CONFECTIONERY CO., HALLOWEEN CHOCOLATE POP"
872522102,,8725020129,MILK CHOCOLATE MAPLE SYRUP CARAMELS
872522102,,8725020136,WHITE CHOCOLATE APPLE FLAVORED CARAMELS
872522102,,8725021072,Halloween Milk Chocolate Skull (4.5 Oz)
872522102,,8725021096,"LONG GROVE CONFECTIONERY CO., SPOOKY TREATS, MINI PRETZEL TWISTS"
872522102,,8725021263,Thanksgiving Holiday Graet Gift Place-setting Solid Milk Chocolate Turkey 2 Oz
872522102,,8725030012,CANDY CANE COOKIES
