upc,match_name,sim_upc,sim_name
79781708995,,797817002104,Christmas Holland Mints - Christmas - 1 Pound
79781708995,,797817003002,Marich Halloween Select Candy Mix 1 Lb - 16 Oz
79781708995,,797817003156,Marich Halloween Spooky Sours Jelly Candy Mix - 1 Lb Bag
79781708995,,797817005457,2483550 Popcorn Milk Chocolate Sea Salt Caramels&#44; Case of 7
79781708995,,797817006591,Comfortable Shower Sponge Bath Brush Body Cleaning Puff Shower Ball
79781708995,,797817007000,Easter Jordan Almonds - Asst - 1 Pound
79781708995,,797817007208,Marich Licorice Pastels Bulk 1lb
79781708995,,797817007420,"Marich brand All Natural Chocolate Jordan Almonds, 10 lb. Bag."
79781708995,,797817007451,Marich Holland Mints Dragee Balk ~ 1lb
79781708995,,797817007604,Marich Almonds Toffee Milk Chocolate Bulk ~ 1lb
