match_name,upc,sim_upc,sim_name
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637000052,Jacomo 236375 1.4 oz Aura Eau De Toilette Spray for Men
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637000069,LARS OWN SUGAR PEARL SWEDISH-10 OZ -Pack of 6
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637000076,GE Tub and Tile Silicone Sealant 236377 Clear 10.1 oz Case of 12
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637000083,GE Tub and Tile Silicone Sealant 236378 White 10.1 oz Case of 12
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637003602,Easter Bubble Gum Eggs (1 Lb - Approx 110 Pcs)
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637003923,Mayfair Kids Play Mix - 5 Pound Bag
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637007419,SPEARMINT LEAVES
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637015674,Sweet Smiles Fruit Slices - 11 oz.
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637015742,Sweet Smiles Peppermint Twists
"Mayfair Cane with Mike & Ike Candies, 1.85 oz",2363748446,23637015803,Sweet Smiles Sour Neon Gummy Worms - 7 oz.
