match_name,upc,sim_upc,sim_name
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000269,EL AZTECA RIE-LAZO HOT & SALTED FRUIT BAR 1 ct each ( 15 in a Pack )
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000283,El Azteca Bandera Pinatera
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000443,EL AZTECA NUTTY COCO PATTY 2.8 oz each ( 12 in a Pack )
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000481,Arachi Japanese Style Peanuts Picosito 50gr Wholes
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000498,7-pcs Arachi Japanese Cocktail Style Peanuts (cacahuate Estilo Japones)
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000559,Dindon Azteca Garampi Rico # 6
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000566,EL AZTECA GARAMPI RICO #7 3.3 oz each ( 25 in a Pack )
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000610,Arachi Cacahuate Estilo Jopones Picosito Tamaño Gigante 5 Pack 180 Gr. C/u.
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000894,"Dindon Azteca Rei-Lazo Botanero Snack Size, 7 oz"
Cucharita Rica Tamarind Flavored Mexican Candy Spoon 24 pcs Tamarindo,87863100148,878631000924,New 366339  Arachi Botana Mix Picosito 180 Gr (10-Pack) Snacks Cheap Wholesale D
