upc,match_name,sim_upc,sim_name
7309360754,,73093000059,"1/4"" OEM LP SUPP HOSE 48"""
7309360754,,73093006006,Gigi Pink Creme Wax 14 Oz
7309360754,,73093013851,Mayfair Chewy Favorites Chewies Variety 27 Oz. (mys5537812)
7309360754,,73093034023,Brach's Individually Wrapped Vanilla Milk Caramels 80 oz
7309360754,,73093112301,Yummy Gummy: Jelly Bears Jelly Gum Sweets (halal)
7309360754,,73093124588,Tri-Mountain Men's Big And Tall Textured jacquard Golf shirt
7309360754,,73093138615,"Farley's Chewy Mix, 29 oz"
7309360754,,73093161095,Farleys & Sathers Candy Company Inc. 16109F-12 Farleys Jelly Beans Candy - Case 
7309360754,,73093161194,Farleys & Sathers Candy Company Inc. 16119-12 Farleys Peanut Butter Bars Candy -
7309360754,,73093201425,"Elvis Presley, American Music Legends Christmas Favorites Cracker Barrel Usa Cd"
