match_name,upc,sim_upc,sim_name
CANDY BARS,4000052431,40000000006,Kill Cliff Blackberry Lemonade
CANDY BARS,4000052431,40000000013,Urban Originals Rose Queen Vegan Leather Crossbody Bag - Yellow
CANDY BARS,4000052431,40000000020,Seagate Stel4000200 Backup Plus Hub 4tb External Desktop Hard Drive Hdd In Black
CANDY BARS,4000052431,40000000037,Mars 2.13-oz Three Musketeers Candy Bar
CANDY BARS,4000052431,40000000044,Urban Originals Lovesome Vegan Leather Backpack - Blue
CANDY BARS,4000052431,40000000051,Urban Originals Celestial Vegan Leather Backpack - Black
CANDY BARS,4000052431,40000000068,Urban Originals On My Own Vegan Leather Backpack -
CANDY BARS,4000052431,40000000075,Flaming Star Vinyl Decal Flames Car Truck Window Sticker Blue
CANDY BARS,4000052431,40000000082,Women's Urban Originals Button Up Vegan Leather Wallet - Black
CANDY BARS,4000052431,40000000099,Urban Originals Crazy Love Vegan Leather Tote -
