upc,match_name,sim_upc,sim_name
67975769154,,679757070873,CUSTOM VEHICLE COVER AUTOBODY ARMOR GRAY CLASS 2 FOR TOYOTA
67975769154,,679757089127,CUSTOM VEHICLE COVER STORMPROOF TM TAN CLASS 5 FOR GMC 199
67975769154,,679757118094,Enjoy Golden Senebei - 4oz
67975769154,,679757118285,Enjoy Pineapple Chewy Candy Lei
67975769154,,679757118292,Enjoy Guava Chewy Candy Lei
67975769154,,679757120240,Enjoy Ktm Abc Lychee Jelly Bites
67975769154,,679757120257,Enjoy Ktm Abc Asst Jelly Bites
67975769154,,679757120387,"Enjoy Li Hing Mango, 3-Oz Bag"
67975769154,,679757120417,CRACKER
67975769154,,679757120851,"YAM COOKIES, TARO COOKIES"
