upc,match_name,sim_upc,sim_name
2363703230,,23637000052,Jacomo 236375 1.4 oz Aura Eau De Toilette Spray for Men
2363703230,,23637000069,LARS OWN SUGAR PEARL SWEDISH-10 OZ -Pack of 6
2363703230,,23637000076,GE Tub and Tile Silicone Sealant 236377 Clear 10.1 oz Case of 12
2363703230,,23637000083,GE Tub and Tile Silicone Sealant 236378 White 10.1 oz Case of 12
2363703230,,23637003602,Easter Bubble Gum Eggs (1 Lb - Approx 110 Pcs)
2363703230,,23637003923,Mayfair Kids Play Mix - 5 Pound Bag
2363703230,,23637007419,SPEARMINT LEAVES
2363703230,,23637015674,Sweet Smiles Fruit Slices - 11 oz.
2363703230,,23637015742,Sweet Smiles Peppermint Twists
2363703230,,23637015803,Sweet Smiles Sour Neon Gummy Worms - 7 oz.
