upc,match_name,sim_upc,sim_name
80459920237,,804599053290,Trend Treftscase Abrasive Files Case For Fast Track Sharpener
80459920237,,804599109447,Best How To Be An Amazing Teacher Review A Highly Credible And Relevant Uk Fast
80459920237,,804599120503,Liku Quad Roller Skates For Girl And Women With All Wheel Light (5-6|pink)
80459920237,,804599201011,Heart Twinkle Pops Assorted 7 Flavors (Pack of 120)
80459920237,,804599201035,Flower Twinkle Pops Assorted 7 Flavors (Pack of 120)
80459920237,,804599201042,24 Butterfly Twinkle Pops Assorted 7 Flavors
80459920237,,804599201080,Twinkle Candy 3-d Peach Color Flower Lollipops 32- Pieces Valentine's Favors
80459920237,,804599201165,Blue Baby Feet Lollipops - 10pcs
80459920237,,804599201240,TeddyBear Twinkle Pops Assorted 7 Flavors (Pack of 120)
80459920237,,804599201523,Crunchmaster Roasted Vegetable Multi-Grain Crackers 4.5oz (Pack of 12)
