match_name,upc,sim_upc,sim_name
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799000059,"Port Authority S648 Stain-Resistant Short Sleeve Twill Shirt, Vintage Khaki - Ex"
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799000073,Jeep Grand Cherokee Mk2 4.7 Brake Pads Set Rear 99 To 05 Trw 05011970ab Quality
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799008611,"Storck Werther's Original Caramel Hard Candies, 5.5 Oz."
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799008666,WERTHERS ORIGINAL 1.8 OUNCES 12 COUNT
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799008987,Werther's Original Chewy Caramels 10 oz
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799008994,"Werther's(R) Original(R) Hard Candies, 10 Oz. Bag"
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799009052,Werthers Original Candy Wreath
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799009083,Werther's Original Lot Of 2 Collectible Candy Tins Used Nice Condition
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799009113,Werther's Original Caramel Hard Candies
Werther's Original - Original Soft Chocolate Caramel 3.85 oz,7279903674,72799017378,"Toffifay Chewy Caramel with Chocolate Hazelnut Filling, 4.3 Oz."
