name,date,data
北京市,2022年11月,0.0
北京市,2022年10月,29.1
北京市,2022年9月,27.3
北京市,2022年8月,38.7
北京市,2022年7月,33.9
北京市,2022年6月,35.0
北京市,2022年5月,22.0
北京市,2022年4月,24.7
北京市,2022年3月,40.6
北京市,2022年2月,0.0
北京市,2022年1月,0.0
北京市,2021年12月,46.3
北京市,2021年11月,40.9
北京市,2021年10月,28.5
北京市,2021年9月,32.0
北京市,2021年8月,43.0
北京市,2021年7月,38.5
北京市,2021年6月,29.2
北京市,2021年5月,25.3
北京市,2021年4月,23.8
北京市,2021年3月,42.6
北京市,2021年2月,0.0
北京市,2021年1月,0.0
北京市,2020年12月,52.6
北京市,2020年11月,49.1
北京市,2020年10月,25.7
北京市,2020年9月,28.7
北京市,2020年8月,36.1
北京市,2020年7月,34.8
北京市,2020年6月,34.5
北京市,2020年5月,23.1
北京市,2020年4月,24.6
北京市,2020年3月,36.2
北京市,2020年2月,0.0
北京市,2020年1月,0.0
北京市,2019年12月,45.7
北京市,2019年11月,40.0
北京市,2019年10月,28.2
北京市,2019年9月,34.1
北京市,2019年8月,36.9
北京市,2019年7月,36.3
北京市,2019年6月,25.5
北京市,2019年5月,22.7
北京市,2019年4月,23.4
北京市,2019年3月,38.2
北京市,2019年2月,0.0
北京市,2019年1月,0.0
天津市,2022年11月,0.0
天津市,2022年10月,48.1
天津市,2022年9月,58.7
天津市,2022年8月,69.7
天津市,2022年7月,69.1
天津市,2022年6月,58.9
天津市,2022年5月,50.2
天津市,2022年4月,45.3
天津市,2022年3月,57.8
天津市,2022年2月,0.0
天津市,2022年1月,0.0
天津市,2021年12月,72.2
天津市,2021年11月,60.0
天津市,2021年10月,59.0
天津市,2021年9月,63.1
天津市,2021年8月,69.9
天津市,2021年7月,74.6
天津市,2021年6月,58.3
天津市,2021年5月,50.6
天津市,2021年4月,49.8
天津市,2021年3月,62.3
天津市,2021年2月,0.0
天津市,2021年1月,0.0
天津市,2020年12月,81.0
天津市,2020年11月,68.9
天津市,2020年10月,62.0
天津市,2020年9月,58.8
天津市,2020年8月,68.8
天津市,2020年7月,61.8
天津市,2020年6月,60.3
天津市,2020年5月,49.8
天津市,2020年4月,53.8
天津市,2020年3月,52.1
天津市,2020年2月,0.0
