name,date,data
北京市,2022年6月,214.5
北京市,2022年5月,179.5
北京市,2022年4月,157.5
北京市,2022年3月,132.8
北京市,2022年2月,92.2
北京市,2022年1月,0.0
北京市,2021年12月,444.6
北京市,2021年11月,398.4
北京市,2021年10月,357.4
北京市,2021年9月,328.9
北京市,2021年8月,296.9
北京市,2021年7月,253.9
北京市,2021年6月,215.4
北京市,2021年5月,186.1
北京市,2021年4月,160.8
北京市,2021年3月,137.0
北京市,2021年2月,93.7
北京市,2021年1月,0.0
北京市,2020年12月,429.1
北京市,2020年11月,376.4
北京市,2020年10月,327.3
北京市,2020年9月,301.6
北京市,2020年8月,272.9
北京市,2020年7月,236.8
北京市,2020年6月,202.1
北京市,2020年5月,167.6
北京市,2020年4月,144.4
北京市,2020年3月,119.8
北京市,2020年2月,83.8
北京市,2020年1月,0.0
北京市,2019年12月,420.5
北京市,2019年11月,374.8
北京市,2019年10月,334.8
北京市,2019年9月,306.6
北京市,2019年8月,272.5
北京市,2019年7月,235.6
北京市,2019年6月,199.3
北京市,2019年5月,173.8
北京市,2019年4月,151.0
北京市,2019年3月,127.6
北京市,2019年2月,89.2
北京市,2019年1月,0.0
天津市,2022年6月,340.7
天津市,2022年5月,281.8
天津市,2022年4月,231.5
天津市,2022年3月,186.2
天津市,2022年2月,127.9
天津市,2022年1月,0.0
天津市,2021年12月,752.0
天津市,2021年11月,679.8
天津市,2021年10月,619.8
天津市,2021年9月,560.8
天津市,2021年8月,497.7
天津市,2021年7月,427.8
天津市,2021年6月,352.3
天津市,2021年5月,294.1
天津市,2021年4月,243.5
天津市,2021年3月,193.6
天津市,2021年2月,131.3
天津市,2021年1月,0.0
天津市,2020年12月,737.7
天津市,2020年11月,656.7
天津市,2020年10月,587.8
天津市,2020年9月,525.6
天津市,2020年8月,466.8
天津市,2020年7月,398.0
天津市,2020年6月,336.1
天津市,2020年5月,275.8
天津市,2020年4月,226.0
天津市,2020年3月,172.3
天津市,2020年2月,116.7
天津市,2020年1月,0.0
天津市,2019年12月,701.8
天津市,2019年11月,621.2
天津市,2019年10月,561.6
天津市,2019年9月,512.2
天津市,2019年8月,457.6
天津市,2019年7月,398.2
天津市,2019年6月,331.5
天津市,2019年5月,273.2
天津市,2019年4月,221.9
天津市,2019年3月,175.0
天津市,2019年2月,118.0
天津市,2019年1月,0.0
河北省,2022年6月,1334.7
