date,拼音,ratio
2018/2/1,Ningxia,0.006423827
2018/2/1,Qinghai,0.005418778
2018/2/1,Shaanxi,0.044621608
2018/2/1,Sichuan,0.080137742
2018/2/1,Tibet,0.0029564
2018/2/1,Xinjiang,0.024011065
2018/2/1,Yunnan,0.039376493
2018/3/1,Heilongjiang,0.014973446
2018/3/1,Jilin,0.015039981
2018/3/1,Liaoning,0.030974651
2018/3/1,Guangdong,0.043914892
2018/3/1,Guangxi,0.00876812
2018/3/1,Hainan,0.002187466
2018/3/1,Henan,0.022116161
2018/3/1,Hubei,0.018515759
2018/3/1,Hunan,0.01643727
2018/3/1,Anhui,0.040056254
2018/3/1,Beijing,0.038707068
2018/3/1,Fujian,0.04547327
2018/3/1,Hebei,0.038072759
2018/3/1,InnerMongolia,0.018215982
2018/3/1,Jiangsu,0.109348958
2018/3/1,Jiangxi,0.026508603
2018/3/1,Shandong,0.078388631
2018/3/1,Shanghai,0.043355178
2018/3/1,Shanxi,0.018485926
2018/3/1,Tianjin,0.01612774
2018/3/1,Zhejiang,0.066875619
2018/3/1,Chongqing,0.041808678
2018/3/1,Gansu,0.014994285
2018/3/1,Guizhou,0.028491699
2018/3/1,Ningxia,0.006399001
2018/3/1,Qinghai,0.005397836
2018/3/1,Shaanxi,0.044449163
2018/3/1,Sichuan,0.07982804
2018/3/1,Tibet,0.002944974
2018/3/1,Xinjiang,0.023918271
2018/3/1,Yunnan,0.039224318
2018/4/1,Heilongjiang,0.015002928
2018/4/1,Jilin,0.01537548
2018/4/1,Liaoning,0.030711558
2018/4/1,Guangdong,0.043311178
2018/4/1,Guangxi,0.008369581
2018/4/1,Hainan,0.002128636
2018/4/1,Henan,0.021831982
2018/4/1,Hubei,0.018094708
2018/4/1,Hunan,0.015823291
2018/4/1,Anhui,0.039309884
2018/4/1,Beijing,0.038447072
2018/4/1,Fujian,0.045098575
2018/4/1,Hebei,0.038661504
2018/4/1,InnerMongolia,0.018425202
2018/4/1,Jiangsu,0.108558113
2018/4/1,Jiangxi,0.02643939
2018/4/1,Shandong,0.078785385
2018/4/1,Shanghai,0.043032355
2018/4/1,Shanxi,0.01846209
2018/4/1,Tianjin,0.016045033
2018/4/1,Zhejiang,0.066744917
2018/4/1,Chongqing,0.04349088
2018/4/1,Gansu,0.015512716
2018/4/1,Guizhou,0.028801892
2018/4/1,Ningxia,0.006616963
2018/4/1,Qinghai,0.005269419
2018/4/1,Shaanxi,0.04516253
2018/4/1,Sichuan,0.080326016
2018/4/1,Tibet,0.002923977
2018/4/1,Xinjiang,0.024046727
2018/4/1,Yunnan,0.039190018
2018/5/1,Heilongjiang,0.015086078
2018/5/1,Jilin,0.015460695
2018/5/1,Liaoning,0.030881771
2018/5/1,Guangdong,0.043586222
2018/5/1,Guangxi,0.008422732
2018/5/1,Hainan,0.002142154
2018/5/1,Henan,0.021970624
2018/5/1,Hubei,0.018209617
2018/5/1,Hunan,0.015923776
2018/5/1,Anhui,0.038975872
2018/5/1,Beijing,0.038120391
2018/5/1,Fujian,0.044715377
2018/5/1,Hebei,0.038333001
2018/5/1,InnerMongolia,0.018268645
2018/5/1,Jiangsu,0.107635706
2018/5/1,Jiangxi,0.026214737
2018/5/1,Shandong,0.078115954
2018/5/1,Shanghai,0.042666714
2018/5/1,Shanxi,0.018305219
2018/5/1,Tianjin,0.0159087
2018/5/1,Zhejiang,0.066177792
2018/5/1,Chongqing,0.04401889
2018/5/1,Gansu,0.015701051
2018/5/1,Guizhou,0.029151568
2018/5/1,Ningxia,0.006697298
2018/5/1,Qinghai,0.005333393
2018/5/1,Shaanxi,0.045710834
2018/5/1,Sichuan,0.08130123
2018/5/1,Tibet,0.002959476
2018/5/1,Xinjiang,0.024338671
2018/5/1,Yunnan,0.039665812
2018/6/1,Heilongjiang,0.015460967
2018/6/1,Jilin,0.015844893
2018/6/1,Liaoning,0.031649181
2018/6/1,Guangdong,0.043844015
2018/6/1,Guangxi,0.008472548
