指标代码,指标,单位,省市代码,省市名称,时间,值
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201612,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201611,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201610,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201609,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201608,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201607,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201606,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,110000,北京市,201605,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,202102,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201612,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201611,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201610,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201609,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201608,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201607,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201606,0.0
A02020G03,烧碱(折100%)产量_累计值,万吨,110000,北京市,201605,0.0
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202110,4.6786
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202109,2.3441
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202108,4.0308
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202107,7.1152
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202106,7.0163
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202105,7.1294
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202104,6.7005
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202103,7.0182
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202012,6.81407
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202011,6.93711
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202010,6.42621
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202009,6.3647
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202008,6.78539
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202007,6.93242
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202006,6.27773
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202005,6.98194
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202004,6.81941
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,202003,7.4334
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201912,7.89168
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201911,7.5856
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201910,7.79619
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201909,5.62249
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201908,5.8196
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201907,7.2423
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201906,6.6277
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201905,7.0612
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201904,6.9725
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201903,7.2096
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201812,7.0107
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201811,7.4929
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201810,7.7806
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201809,5.9232
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201808,6.9675
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201807,7.2691
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201806,7.0834
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201805,6.68207
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201804,7.793
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201803,7.50538
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201712,6.5126
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201711,6.9311
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201710,6.9972
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201709,6.6837
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201708,6.7008
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201707,6.7887
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201706,5.7742
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201705,4.9291
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201704,7.7723
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201703,6.8822
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201612,6.7954
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201611,6.9181
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201610,6.5087
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201609,5.9082
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201608,5.7848
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201607,5.2479
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201606,6.1302
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201605,6.2584
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201604,5.26192
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201603,6.4847
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201512,7.092
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201511,7.6234
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201510,7.3
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201509,5.3
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201508,6.3
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201507,8.6
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201506,9.1
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201505,9.6
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201504,8.7
A02020G01,烧碱(折100%)产量_当月值,万吨,120000,天津市,201503,9.0
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202110,60.6183
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202109,55.9397
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202108,53.5956
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202107,49.5648
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202106,42.4495
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202105,35.4332
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202104,28.3038
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202103,21.6033
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202102,14.5851
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202012,82.31718
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202011,75.50312
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202010,68.5659
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202009,62.13979
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202008,55.77499
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202007,48.9896
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202006,42.05717
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202005,35.77944
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202004,28.7975
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202003,21.97809
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,202002,14.54469
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201912,86.56084
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201911,78.66926
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201910,71.08356
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201909,63.28736
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201908,57.5171
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201907,51.6975
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201906,42.2492
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201905,35.6215
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201904,28.5603
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201903,21.5879
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201902,14.3782
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201812,82.0321
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201811,75.0214
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201810,67.5285
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201809,59.7479
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201808,53.8247
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201807,46.8572
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201806,39.5882
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201805,33.70868
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201804,27.02661
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201803,19.23361
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201802,11.7426
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201712,79.9478
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201711,73.4351
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201710,66.5041
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201709,59.5069
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201708,52.8231
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201707,46.1223
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201706,39.3336
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201705,33.5594
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201704,28.6303
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201703,20.858
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201702,13.9758
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201612,75.2677
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201611,68.4724
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201610,61.5543
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201609,55.0455
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201608,49.1374
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201607,43.3526
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201606,38.1047
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201605,31.9745
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201604,25.71607
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201603,20.4542
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201602,13.9695
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201512,96.7703
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201511,89.6784
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201510,82.1
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201509,74.8
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201508,69.4
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201507,63.2
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201506,54.6
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201505,45.5
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201504,35.9
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201503,27.2
A02020G03,烧碱(折100%)产量_累计值,万吨,120000,天津市,201502,16.8883
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202110,10.83961
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202109,10.6845
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202108,12.1555
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202107,11.3631
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202106,11.79313
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202105,11.70294
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202104,11.99669
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202103,10.77521
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202012,11.14348
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202011,10.43265
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202010,10.6873
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202009,10.57638
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202008,10.15905
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202007,10.67135
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202006,9.29463
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202005,10.60416
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202004,10.00698
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,202003,12.10508
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201912,10.34378
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201911,8.59208
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201910,8.90837
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201909,8.90217
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201908,9.37927
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201907,9.80206
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201906,9.56187
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201905,9.99212
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201904,9.84661
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201903,10.14828
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201812,10.22419
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201811,10.82636
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201810,11.36859
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201809,11.0681
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201808,11.1357
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201807,11.18744
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201806,11.92521
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201805,11.63376
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201804,12.04575
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201803,11.39646
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201712,10.84974
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201711,11.07811
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201710,9.92936
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201709,9.68651
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201708,11.1636
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201707,10.77976
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201706,10.53729
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201705,9.58422
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201704,10.43736
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201703,10.63253
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201612,10.29468
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201611,11.02145
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201610,11.02037
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201609,10.44119
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201608,8.677
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201607,9.28689
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201606,9.88387
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201605,10.65101
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201604,10.83949
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201603,10.55291
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201512,11.42798
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201511,10.94078
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201510,11.1
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201509,9.2
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201508,8.1
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201507,9.6
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201506,10.0
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201505,10.3
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201504,10.3
A02020G01,烧碱(折100%)产量_当月值,万吨,130000,河北省,201503,10.1
A02020G03,烧碱(折100%)产量_累计值,万吨,130000,河北省,202110,116.09498
A02020G03,烧碱(折100%)产量_累计值,万吨,130000,河北省,202109,105.25537
A02020G03,烧碱(折100%)产量_累计值,万吨,130000,河北省,202108,94.57087
A02020G03,烧碱(折100%)产量_累计值,万吨,130000,河北省,202107,82.41537
A02020G03,烧碱(折100%)产量_累计值,万吨,130000,河北省,202106,71.05229
A02020G03,烧碱(折100%)产量_累计值,万吨,130000,河北省,202105,59.28915
