指标代码,指标,单位,省市代码,省市名称,时间,值
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202112,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202111,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202110,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202109,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202108,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202107,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202106,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202105,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202104,0.0002
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202103,0.0002
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202012,0.0009
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202011,0.0002
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202010,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202009,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202008,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202007,0.0007
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202006,0.0001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202005,0.001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202004,0.0002
A02021I01,程控交换机产量_当月值,万线,110000,北京市,202003,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201912,0.0022
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201911,0.0011
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201910,0.001
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201909,0.0013
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201908,0.0029
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201907,0.0017
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201906,0.0015
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201905,0.003
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201904,0.0028
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201903,0.0018
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201812,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201811,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201810,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201809,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201808,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201807,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201806,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201805,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201804,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201803,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201712,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201711,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201710,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201709,0.0
A02021I01,程控交换机产量_当月值,万线,110000,北京市,201708,0.0
