cname,code,dotcount,exp,ifshowcode,memo,name,nodesort,sortcode,tag,unit
铁矿石原矿量产量_当月值,A02020201,2,,FALSE,,铁矿石原矿量产量_当月值,1,168,,万吨
铁矿石原矿量产量_累计值,A02020203,2,,FALSE,,铁矿石原矿量产量_累计值,1,169,,万吨
磷矿石产量_当月值,A02020301,2,,FALSE,,磷矿石产量_当月值,1,171,,万吨
磷矿石产量_累计值,A02020303,2,,FALSE,,磷矿石产量_累计值,1,172,,万吨
原盐产量_当月值,A02020401,2,,FALSE,,原盐产量_当月值,1,174,,万吨
原盐产量_累计值,A02020403,2,,FALSE,,原盐产量_累计值,1,175,,万吨
成品糖产量_当月值,A02020501,2,,FALSE,成品糖1997年及以前名称为糖，产量包括土糖，1998-2004年名称为机制糖。,成品糖产量_当月值,1,177,,万吨
成品糖产量_累计值,A02020503,2,,FALSE,成品糖1997年及以前名称为糖，产量包括土糖，1998-2004年名称为机制糖。,成品糖产量_累计值,1,178,,万吨
饮料产量_当月值,A02020601,2,,FALSE,,饮料产量_当月值,1,180,,万吨
饮料产量_累计值,A02020603,2,,FALSE,,饮料产量_累计值,1,181,,万吨
纱产量_当月值,A02020701,2,,FALSE,纱包括棉纱、棉混纺纱、纯化纤纱，不包括棉线、代用纤维纱和手工纺纱。,纱产量_当月值,1,183,,万吨
纱产量_累计值,A02020703,2,,FALSE,纱包括棉纱、棉混纺纱、纯化纤纱，不包括棉线、代用纤维纱和手工纺纱。,纱产量_累计值,1,184,,万吨
布产量_当月值,A02020801,2,,FALSE,布包括棉布、棉混纺布、纯化纤布，不包括代用纤维布、手工织布。,布产量_当月值,1,186,,亿米
布产量_累计值,A02020803,2,,FALSE,布包括棉布、棉混纺布、纯化纤布，不包括代用纤维布、手工织布。,布产量_累计值,1,187,,亿米
机制纸及纸板产量_当月值,A02020901,2,,FALSE,,机制纸及纸板产量_当月值,1,189,,万吨
机制纸及纸板产量_累计值,A02020903,2,,FALSE,,机制纸及纸板产量_累计值,1,190,,万吨
新闻纸产量_当月值,A02020A01,2,,FALSE,,新闻纸产量_当月值,1,192,,万吨
新闻纸产量_累计值,A02020A03,2,,FALSE,,新闻纸产量_累计值,1,193,,万吨
硫酸产量_当月值,A02020F01,2,,FALSE,,硫酸产量_当月值,1,195,,万吨
硫酸产量_累计值,A02020F03,2,,FALSE,,硫酸产量_累计值,1,196,,万吨
烧碱(折100%)产量_当月值,A02020G01,2,,FALSE,,烧碱(折100%)产量_当月值,1,198,,万吨
烧碱(折100%)产量_累计值,A02020G03,2,,FALSE,,烧碱(折100%)产量_累计值,1,199,,万吨
纯碱(碳酸钠)产量_当月值,A02020H01,2,,FALSE,,纯碱(碳酸钠)产量_当月值,1,201,,万吨
纯碱(碳酸钠)产量_累计值,A02020H03,2,,FALSE,,纯碱(碳酸钠)产量_累计值,1,202,,万吨
农用氮磷钾化肥(折纯)产量_当月值,A02020I01,2,,FALSE,农用化肥按有效成分100%计算。,农用氮磷钾化肥(折纯)产量_当月值,1,204,,万吨
农用氮磷钾化肥(折纯)产量_累计值,A02020I03,2,,FALSE,农用化肥按有效成分100%计算。,农用氮磷钾化肥(折纯)产量_累计值,1,205,,万吨
化学农药原药产量_当月值,A02020J01,2,,FALSE,,化学农药原药产量_当月值,1,207,,万吨
化学农药原药产量_累计值,A02020J03,2,,FALSE,,化学农药原药产量_累计值,1,208,,万吨
乙烯产量_当月值,A02020K01,2,,FALSE,,乙烯产量_当月值,1,210,,万吨
乙烯产量_累计值,A02020K03,2,,FALSE,,乙烯产量_累计值,1,211,,万吨
初级形态的塑料产量_当月值,A02020L01,2,,FALSE,初级形态的塑料2004年及以前名称为塑料树脂及共聚物，简称塑料。,初级形态的塑料产量_当月值,1,213,,万吨
初级形态的塑料产量_累计值,A02020L03,2,,FALSE,初级形态的塑料2004年及以前名称为塑料树脂及共聚物，简称塑料。,初级形态的塑料产量_累计值,1,214,,万吨
合成洗涤剂产量_当月值,A02020M01,2,,FALSE,,合成洗涤剂产量_当月值,1,216,,万吨
合成洗涤剂产量_累计值,A02020M03,2,,FALSE,,合成洗涤剂产量_累计值,1,217,,万吨
化学纤维产量_当月值,A02020N01,2,,FALSE,,化学纤维产量_当月值,1,219,,万吨
化学纤维产量_累计值,A02020N03,2,,FALSE,,化学纤维产量_累计值,1,220,,万吨
塑料制品产量_当月值,A02020O01,2,,FALSE,,塑料制品产量_当月值,1,222,,万吨
塑料制品产量_累计值,A02020O03,2,,FALSE,,塑料制品产量_累计值,1,223,,万吨
水泥产量_当月值,A02020P01,2,,FALSE,,水泥产量_当月值,1,225,,万吨
水泥产量_累计值,A02020P03,2,,FALSE,,水泥产量_累计值,1,226,,万吨
平板玻璃产量_当月值,A02020Q01,2,,FALSE,,平板玻璃产量_当月值,1,228,,万重量箱
平板玻璃产量_累计值,A02020Q03,2,,FALSE,,平板玻璃产量_累计值,1,229,,万重量箱
