指标代码,指标,单位,省市代码,省市名称,时间,值
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201612,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201611,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201610,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201609,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201608,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201607,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201606,0.0
A02021501,大型拖拉机产量_当月值,台,110000,北京市,201605,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,202102,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201612,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201611,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201610,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201609,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201608,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201607,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201606,0.0
A02021503,大型拖拉机产量_累计值,台,110000,北京市,201605,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202012,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202011,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202010,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202009,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202008,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202007,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202006,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202005,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202004,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,202003,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201912,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201911,2.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201910,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201909,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201908,5.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201907,4.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201906,3.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201905,5.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201904,32.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201903,49.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201812,9.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201811,2.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201810,15.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201809,1.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201808,21.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201807,7.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201806,19.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201805,43.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201804,22.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201803,59.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201712,50.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201711,3.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201710,5.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201709,8.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201708,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201707,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201706,1.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201705,55.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201704,26.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201703,134.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201612,135.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201611,52.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201610,48.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201609,10.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201608,2.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201607,71.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201606,5.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201605,76.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201604,121.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201603,150.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201512,267.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201510,0.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201509,10.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201508,5.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201507,18.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201506,8.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201505,16.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201504,36.0
A02021501,大型拖拉机产量_当月值,台,120000,天津市,201503,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202102,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202012,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202011,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202010,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202009,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202008,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202007,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202006,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202005,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202004,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202003,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,202002,0.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201912,176.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201911,176.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201910,174.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201909,174.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201908,174.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201907,169.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201906,165.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201905,162.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201904,157.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201903,125.0
A02021503,大型拖拉机产量_累计值,台,120000,天津市,201902,76.0
