指标代码,指标,单位,省市代码,省市名称,时间,值
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201612,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201611,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201610,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201609,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201608,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201607,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201606,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,110000,北京市,201605,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,202102,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201612,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201611,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201610,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201609,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201608,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201607,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201606,0.0
A02020H03,纯碱(碳酸钠)产量_累计值,万吨,110000,北京市,201605,0.0
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202110,4.497
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202109,0.0716
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202108,2.9769
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202107,5.7704
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202106,4.7271
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202105,4.2793
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202104,5.3411
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202103,6.4287
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202012,1.0934
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202011,2.1724
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202010,6.5919
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202009,6.7688
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202008,6.5892
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202007,6.1543
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202006,4.7223
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202005,6.414
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202004,5.9817
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,202003,4.6531
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201912,5.3379
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201911,4.502
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201910,6.1081
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201909,5.863
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201908,4.2784
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201907,6.4864
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201906,6.4379
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201905,6.2198
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201904,6.4843
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201903,4.9277
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201812,6.559
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201811,5.3471
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201810,6.7469
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201809,6.6129
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201808,5.7042
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201807,6.098
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201806,4.976
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201805,0.0001
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201804,2.1987
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201803,7.2134
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201712,7.2787
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201711,6.1621
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201710,6.9879
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201709,6.7829
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201708,4.1707
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201707,3.8343
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201706,6.0578
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201705,1.6241
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201704,4.3397
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201703,4.6148
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201612,3.9437
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201611,6.0242
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201610,5.2883
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201609,2.9388
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201608,5.792
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201607,5.7714
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201606,3.7145
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201605,5.9149
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201604,5.8285
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201603,5.2822
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201512,5.4669
A02020H01,纯碱(碳酸钠)产量_当月值,万吨,120000,天津市,201511,5.9846
