指标代码,指标,单位,省市代码,省市名称,时间,值
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201612,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201611,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201610,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201609,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201608,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201607,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201606,0.0
A02021301,水泥专用设备产量_当月值,吨,110000,北京市,201605,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,202102,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201612,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201611,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201610,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201609,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201608,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201607,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201606,0.0
A02021303,水泥专用设备产量_累计值,吨,110000,北京市,201605,0.0
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202110,1230.6
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202109,1292.4
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202108,1537.5
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202107,1507.3
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202106,1353.2
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202105,1730.4
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202104,1677.1
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202103,1570.8
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202012,1368.2
A02021301,水泥专用设备产量_当月值,吨,120000,天津市,202011,1444.9
