date,unit,地区,zhibiao
2019年5月,万人次,东部地区,5838.2
2019年5月,万人次,西部地区,3358.3
2019年6月,万人次,东北地区,688.1
2019年6月,万人次,中部地区,1255.6
2019年6月,万人次,东部地区,5686.1
2019年6月,万人次,西部地区,3311.5
2019年7月,万人次,东北地区,772.8
2019年7月,万人次,中部地区,1416.6
2019年7月,万人次,东部地区,6224.6
2019年7月,万人次,西部地区,3745.9
2019年8月,万人次,东北地区,791.7
2019年8月,万人次,中部地区,1484.9
2019年8月,万人次,东部地区,6361.8
2019年8月,万人次,西部地区,3912.9
2019年9月,万人次,东北地区,710.1
2019年9月,万人次,中部地区,1304.7
2019年9月,万人次,东部地区,5754.3
2019年9月,万人次,西部地区,3461.5
2019年10月,万人次,东北地区,718.8
2019年10月,万人次,中部地区,1350.4
2019年10月,万人次,东部地区,6082
2019年10月,万人次,西部地区,3527.5
2019年11月,万人次,东北地区,640.9
2019年11月,万人次,中部地区,1234.2
2019年11月,万人次,东部地区,5839.4
2019年11月,万人次,西部地区,3139.1
2019年12月,万人次,东北地区,655.9
2019年12月,万人次,中部地区,1203.7
2019年12月,万人次,东部地区,5853.5
2019年12月,万人次,西部地区,3057
2020年1月,万人次,东北地区,675.9
2020年1月,万人次,中部地区,1150
2020年1月,万人次,东部地区,5511.4
2020年1月,万人次,西部地区,2988.9
2020年2月,万人次,东北地区,126.3
2020年2月,万人次,中部地区,146.3
2020年2月,万人次,东部地区,914.8
2020年2月,万人次,西部地区,517.3
2020年3月,万人次,东北地区,177.9
2020年3月,万人次,中部地区,303.7
2020年3月,万人次,东部地区,1442.7
2020年3月,万人次,西部地区,1165.8
2020年4月,万人次,东北地区,189.8
2020年4月,万人次,中部地区,372.4
2020年4月,万人次,东部地区,1603
2020年4月,万人次,西部地区,1283.5
2020年5月,万人次,东北地区,206.2
2020年5月,万人次,中部地区,601.2
2020年5月,万人次,东部地区,2542.8
2020年5月,万人次,西部地区,1944.4
2020年6月,万人次,东北地区,303.2
2020年6月,万人次,中部地区,748.3
2020年6月,万人次,东部地区,3016
2020年6月,万人次,西部地区,2246.8
2020年7月,万人次,东北地区,452.3
2020年7月,万人次,中部地区,993.3
2020年7月,万人次,东部地区,3864
2020年7月,万人次,西部地区,2712
2020年8月,万人次,东北地区,477.8
2020年8月,万人次,中部地区,1202.2
2020年8月,万人次,东部地区,4655.9
2020年8月,万人次,西部地区,3116.3
2020年9月,万人次,东北地区,598.6
2020年9月,万人次,中部地区,1197.2
2020年9月,万人次,东部地区,4853
2020年9月,万人次,西部地区,3208.9
2020年10月,万人次,东北地区,620.7
2020年10月,万人次,中部地区,1256.9
2020年10月,万人次,东部地区,5137.8
2020年10月,万人次,西部地区,3322.6
2020年11月,万人次,东北地区,557.3
2020年11月,万人次,中部地区,1114.7
2020年11月,万人次,东部地区,4700
2020年11月,万人次,西部地区,2759.9
2020年12月,万人次,东北地区,544.9
2020年12月,万人次,中部地区,1056.6
2020年12月,万人次,东部地区,4492.4
2020年12月,万人次,西部地区,2625.3
2021年1月,万人次,东北地区,264.8
2021年1月,万人次,中部地区,798.5
2021年1月,万人次,东部地区,2994.6
2021年1月,万人次,西部地区,2155.2
2021年2月,万人次,东北地区,256.8
2021年2月,万人次,中部地区,652.3
2021年2月,万人次,东部地区,2305.5
2021年2月,万人次,西部地区,1728.6
